vector_size,q1_run1,q1_run2,q1_run3,q1_avg,q6_run1,q6_run2,q6_run3,q6_avg
64,0.0371788339689374,0.035032541025429964,0.03602141607552767,0.036077597023298345,0.040797124966047704,0.03657179104629904,0.03734354197513312,0.038237485995826624
512,0.03346695797517896,0.0327561249723658,0.03371354204136878,0.03331220832963785,0.032419499941170216,0.03326116700191051,0.0321449579205364,0.03260854162120571
2048,0.03692354098893702,0.035185499931685627,0.03419645898975432,0.035435166636792324,0.09836000006180257,0.037450917065143585,0.03679037501569837,0.057533764047548175
8192,0.03536083397921175,0.03357970807701349,0.0359274169895798,0.03495598634860168,0.03239795903209597,0.03386958304326981,0.044971790979616344,0.03707977768499404
